player,web_name,position,points_2425,gw1_28,gw29_38,acceleration,f10_points,f10_minutes,code,player_id,position_group
Stefan Ortega Moreno,Ortega Moreno,GK,35,25.0,10,0.1071428571428571,0.0,0.0,88248,400.0,DEF/GK
Djed Spence,Spence,DEF,51,41.0,10,-0.4642857142857142,30.0,668.0,232859,573.0,DEF/GK
Konstantinos Mavropanos,Mavropanos,DEF,45,35.0,10,-0.25,17.0,495.0,233963,606.0,DEF/GK
Marcos Senesi,Senesi,DEF,31,21.0,10,0.25,56.0,887.0,221466,72.0,DEF/GK
David Brooks,Brooks,MID,52,42.0,10,-0.5,20.0,536.0,111317,86.0,MID/FWD
Lucas Bergvall,Bergvall,MID,44,34.0,10,-0.2142857142857142,24.0,409.0,570526,586.0,MID/FWD
Rodrigo Bentancur,Bentancur,MID,49,39.0,10,-0.3928571428571428,34.0,644.0,202993,585.0,MID/FWD
Guido Rodríguez,G.Rodríguez,MID,36,28.0,8,-0.19999999999999996,3.0,89.0,197024,618.0,MID/FWD
Joe Willock,Willock,MID,46,38.0,8,-0.5571428571428572,4.0,86.0,200089,494.0,MID/FWD
Caoimhin Kelleher,Kelleher,GK,45,37.0,8,-0.5214285714285714,30.0,900.0,200720,101.0,DEF/GK
Matthijs de Ligt,De Ligt,DEF,68,60.0,8,-1.3428571428571427,30.0,900.0,209365,436.0,DEF/GK
Gonçalo Manuel Ganchinho Guedes,Guedes,MID,62,54.0,8,-1.1285714285714286,0.0,0.0,181284,647.0,MID/FWD
Yves Bissouma,Bissouma,MID,50,43.0,7,-0.8357142857142859,0.0,0.0,227127,587.0,MID/FWD
Dejan Kulusevski,Kulusevski,MID,117,110.0,7,-3.2285714285714286,0.0,0.0,445044,583.0,MID/FWD
Ola Aina,Aina,DEF,128,121.0,7,-3.621428571428571,6.0,270.0,159506,507.0,DEF/GK
Son Heung-min,Son,MID,129,122.0,7,-3.6571428571428566,0.0,0.0,85971,579.0,MID/FWD
Phil Foden,Foden,MID,105,98.0,7,-2.8,28.0,621.0,209244,414.0,MID/FWD
Darwin Núñez Ribeiro,Darwin,FWD,66,60.0,6,-1.5428571428571427,0.0,0.0,447203,397.0,MID/FWD
Gabriel dos Santos Magalhães,Gabriel,DEF,117,111.0,6,-3.3642857142857143,80.0,900.0,226597,5.0,DEF/GK
Taiwo Awoniyi,Awoniyi,FWD,32,26.0,6,-0.3285714285714286,3.0,102.0,210156,527.0,MID/FWD
Lewis Dunk,Dunk,DEF,44,38.0,6,-0.7571428571428572,23.0,900.0,83299,146.0,DEF/GK
Vitaly Janelt,Janelt,MID,73,68.0,5,-1.9285714285714284,9.0,139.0,204580,125.0,MID/FWD
Joshua Zirkzee,Zirkzee,FWD,64,59.0,5,-1.6071428571428572,4.0,82.0,458249,466.0,MID/FWD
Edson Álvarez Velázquez,Álvarez,MID,40,35.0,5,-0.75,0.0,0.0,213999,616.0,MID/FWD
Pedro Porro,Pedro Porro,DEF,98,93.0,5,-2.8214285714285716,44.0,797.0,441164,568.0,DEF/GK
Georginio Rutter,Georginio,MID,95,90.0,5,-2.7142857142857144,28.0,604.0,463067,158.0,MID/FWD
Dominic Calvert-Lewin,Calvert-Lewin,FWD,63,59.0,4,-1.7071428571428573,24.0,598.0,177815,691.0,MID/FWD
Christopher Nkunku,Nkunku,MID,60,56.0,4,-1.6,0.0,0.0,213198,240.0,MID/FWD
Sean Longstaff,Longstaff,MID,34,30.0,4,-0.6714285714285714,37.0,714.0,180135,493.0,MID/FWD
Ross Barkley,Barkley,MID,44,40.0,4,-1.0285714285714285,4.0,61.0,88894,55.0,MID/FWD
Álex Moreno Lopera,Alex Moreno,DEF,34,31.0,3,-0.8071428571428572,0.0,0.0,106468,43.0,DEF/GK
Hwang Hee-chan,Hee Chan,MID,37,34.0,3,-0.9142857142857141,14.0,297.0,184754,642.0,MID/FWD
Micky van de Ven,Van de Ven,DEF,32,29.0,3,-0.7357142857142858,57.0,889.0,491279,575.0,DEF/GK
Łukasz Fabiański,Fabianski,GK,39,36.0,3,-0.9857142857142858,0.0,0.0,37096,738.0,DEF/GK
Ryan Christie,Christie,MID,76,73.0,3,-2.3071428571428574,15.0,199.0,158499,87.0,MID/FWD
Ethan Pinnock,Pinnock,DEF,47,44.0,3,-1.2714285714285714,0.0,155.0,231065,111.0,DEF/GK
Tariq Lamptey,Lamptey,DEF,42,40.0,2,-1.2285714285714286,0.0,0.0,232792,150.0,DEF/GK
Felipe Rodrigues da Silva,Morato,DEF,36,34.0,2,-1.0142857142857142,7.0,436.0,485047,511.0,DEF/GK
Riccardo Calafiori,Calafiori,DEF,39,37.0,2,-1.1214285714285714,60.0,766.0,466075,7.0,DEF/GK
Kai Havertz,Havertz,FWD,97,96.0,1,-3.3285714285714283,1.0,30.0,219847,30.0,MID/FWD
Issa Diop,Diop,DEF,31,30.0,1,-0.9714285714285714,4.0,223.0,219924,320.0,DEF/GK
Joël Veltman,Veltman,DEF,59,58.0,1,-1.9714285714285715,7.0,324.0,111478,152.0,DEF/GK
Destiny Udogie,Udogie,DEF,43,42.0,1,-1.4,8.0,318.0,487053,574.0,DEF/GK
Leon Bailey,Bailey,MID,47,46.0,1,-1.5428571428571427,0.0,0.0,215711,49.0,MID/FWD
Fábio Freitas Gouveia Carvalho,Carvalho,MID,35,35.0,0,-1.25,13.0,100.0,244858,123.0,MID/FWD
Mads Roerslev Rasmussen,Roerslev,DEF,36,36.0,0,-1.2857142857142858,0.0,0.0,226956,112.0,DEF/GK
Martin Dúbravka,Dúbravka,GK,44,44.0,0,-1.5714285714285714,33.0,900.0,67089,470.0,DEF/GK
Lewis Hall,Hall,DEF,102,102.0,0,-3.642857142857143,9.0,133.0,487838,473.0,DEF/GK
Lisandro Martínez,Martinez,DEF,68,68.0,0,-2.4285714285714284,0.0,0.0,221820,437.0,DEF/GK
Enes Ünal,Enes Ünal,FWD,32,32.0,0,-1.1428571428571428,1.0,1.0,168636,98.0,MID/FWD
Crysencio Summerville,Summerville,MID,33,33.0,0,-1.1785714285714286,18.0,557.0,450070,615.0,MID/FWD
Gabriel Fernando de Jesus,G.Jesus,FWD,42,42.0,0,-1.5,0.0,0.0,205651,31.0,MID/FWD
